Sección;Deporte;Producto;SKU;Talla;Stock;Mínimo;Coste unit.;Valor;Ubicación
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Botas competición (stock genérico hombre)";"ATM-BOOTS-COMP";"42";"12";"10";"180";"2160";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Botiquín viaje primer equipo";"ATM-MED-KIT";"—";"3";"2";"250";"750";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Camiseta Away Prematch Hombre Nike 26/27";"ATM-PREMATCH-AWAY-2627";"L";"42";"15";"69.95";"2937.9";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Camiseta Entrenamiento Nike Hombre 26/27";"ATM-TRAIN-TEE-2627";"L";"88";"30";"54.95";"4835.6";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Camiseta Hombre 1ª Equipación 26/27";"ATM-HOME-REPLICA-2627";"L";"72";"25";"109.95";"7916.400000000001";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Camiseta Hombre 2ª Equipación 26/27";"II1932-011";"L";"38";"12";"109.95";"4178.1";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Camiseta Hombre 3ª Equipación 25/26";"ATM-THIRD-REPLICA-2526";"L";"34";"12";"99.95";"3398.3";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Camiseta Manga Larga Hombre 1ª Equipación 26/27";"ATM-HOME-LS-2627";"L";"28";"10";"119.95";"3358.6";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Camiseta Match Hombre 1ª Equipación 26/27";"ATM-HOME-MATCH-2627";"L";"54";"20";"159.95";"8637.3";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Camiseta Match Hombre 2ª Equipación 26/27";"IR1435-011";"L";"40";"15";"159.95";"6398";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Camiseta Match Hombre 3ª Equipación 25/26";"ATM-THIRD-MATCH-2526";"L";"26";"10";"149.95";"3898.7";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Camiseta Portero Hombre 25/26";"HQ9235-084";"XL";"16";"6";"109.95";"1759.2";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Medias 1ª Equipación 26/27";"ATM-HOME-SOCK-2627";"M";"90";"30";"24.95";"2245.5";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Medias 2ª Equipación 26/27";"IQ6648-010";"M";"65";"20";"24.95";"1621.75";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Medias 3ª Equipación 25/26";"ATM-THIRD-SOCK-2526";"M";"55";"20";"22.95";"1262.25";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Pantalón Corto 1ª Equipación 26/27";"ATM-HOME-SHORT-2627";"L";"60";"20";"54.95";"3297";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Pantalón Corto 2ª Equipación 26/27";"II2031-010";"L";"48";"15";"54.95";"2637.6000000000004";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Pantalón Corto 3ª Equipación 25/26";"ATM-THIRD-SHORT-2526";"L";"38";"12";"49.95";"1898.1000000000001";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Pantalón Corto Entrenamiento Nike Hombre 26/27";"ATM-TRAIN-SHORT-2627";"L";"55";"20";"47.95";"2637.25";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Pantalón Entrenamiento Nike Hombre 26/27";"ATM-TRAIN-PANT-2627";"L";"30";"10";"74.95";"2248.5";"Ciudad Deportiva — Almacén Equipaciones Hombre"
"Fútbol — Primer Equipo (ATM)";"Fútbol";"Sudadera Drill Top Nike Hombre 26/27";"ATM-DRILL-TOP-2627";"L";"35";"12";"74.95";"2623.25";"Ciudad Deportiva — Almacén Equipaciones Hombre"
